Publication Year,,
name,count,
2017,1000173,
2018,972131,
2019,956259,
2016,954790,
2020,952706,
2015,874157,
2014,868429,
2021,804185,
2013,780391,
2012,733339,
2023,725579,
2011,703269,
2022,676569,
2010,649569,
2024,613269,
2009,605486,
2008,547199,
2007,532995,
2006,441497,
2005,405692,
2004,378394,
2025,376048,
2003,348052,
2002,336062,
2001,284819,
2000,279818,
1999,235114,
1998,225309,
1997,211710,
1996,198193,
1995,186300,
1994,176665,
1993,165971,
1992,157798,
1991,150399,
1990,148340,
1989,138920,
1988,129537,
1987,123613,
1986,116048,
1985,108560,
1984,103931,
1983,98855,
1982,95111,
1981,93263,
1980,92187,
1979,88658,
1970,87833,
1978,86135,
1977,82128,
1972,80583,
1973,80566,
1976,79364,
1975,79164,
1974,78187,
1971,76304,
1969,68911,
1968,64327,
1967,60936,
1966,56708,
1965,54713,
1964,52170,
1963,50311,
1962,47386,
1961,45291,
1960,44104,
1959,40941,
1958,40322,
1957,38431,
1956,37926,
1955,37125,
1954,35030,
1953,33589,
1952,32215,
1951,31059,
1950,30357,
1949,25778,
1932,25075,
1930,25046,
1931,24797,
1928,24680,
1929,24665,
1927,23560,
1933,23492,
1936,23455,
1938,23321,
1937,23239,
1935,22940,
1939,22812,
1948,22788,
1926,22680,
1934,22657,
1940,21519,
1925,20380,
1924,18993,
1947,18549,
1941,18401,
1922,17895,
1923,17852,
1913,17494,
1912,16928,
1942,16745,
1921,16376,
1911,16300,
1910,15775,
1914,15694,
1943,15498,
1909,15397,
1946,15130,
1908,14684,
1920,14299,
1906,14080,
1907,13940,
1905,13768,
1904,13429,
1944,13260,
1903,12955,
1902,12901,
1901,12704,
1900,12304,
1945,11795,
1919,11710,
1915,11472,
1899,11378,
1916,11370,
1917,11190,
1898,10614,
1897,10586,
1918,10356,
1896,9861,
1895,9645,
1894,9464,
1888,8982,
1893,8953,
1887,8573,
1892,8570,
1891,8545,
1890,8332,
1889,8283,
1886,8194,
1884,7959,
1885,7937,
1883,7259,
1880,7154,
1881,6520,
1882,6511,
1876,5577,
1879,5495,
1877,5348,
1878,5269,
1875,5064,
1874,4763,
1873,4633,
1870,4429,
1872,4336,
1869,4080,
1863,3864,
1868,3720,
1867,3693,
1855,3653,
1871,3584,
1861,3527,
1857,3452,
1862,3440,
1864,3383,
1866,3312,
1865,3208,
1854,3172,
1858,3091,
1856,3079,
1860,3075,
1859,3040,
1850,2960,
1851,2960,
1853,2863,
1852,2708,
1846,2467,
1847,2242,
1848,2143,
1840,1968,
1849,1869,
1844,1858,
1839,1849,
1843,1833,
1727,1812,
1841,1788,
1845,1782,
1842,1732,
1827,1700,
1837,1621,
1836,1615,
1838,1612,
1835,1543,
1834,1527,
1830,1518,
1828,1493,
1826,1454,
1825,1443,
1824,1412,
1829,1391,
